name,brand,description,image_url
Nastro e vite inox - W4,Unifix,"Fascetta stringitubo nastro 9 mm fascettate - DIN 3017 
vite a testa esagonale doppia possibilità di fissaggio
chiusura ottimale grazie al lucchetto molto corto
bordi rialzati evitano tagli nel tubo
nastro continuo pieno
W2 - acciaio inossidabile
W4 - Inox A2 (Aisi 304)",/images/unifix_prodotti/Nastroeviteinox-W4.webp
Bianca,Unifix,"Fascette cablaggio - in nylon 6.6 
conforme alla norma CEI EN 62275
autoestinguente a norma UL 94 classe V2
codino inclinato per facilitare l’inserimento della fascetta nella testina
angoli arrotondati che garantiscono una maggiore sicurezza
scorrimento agevolato dal basso coefficiente di attrito del materiale
le fascette di colore nero sono additivate con un pigmento colorante “carbon black”, per aumentare la resistenza ai raggi ultravioletti, agli agenti atmosferici ed all’invecchiamento",/images/unifix_prodotti/Bianca.webp
Solo tassello,Unifix,"FXU - Tassello universale in nylon - con bordino idoneo per ogni tipo di fissaggio leggero mediante espansione radiale nel pieno e annodamento nel vuoto
 
indicato per cemento, pietra, mattoni pieni e forati, calcestruzzo aerato, pannelli truciolari e cartongesso ad esclusione del Ø10mm e Ø12mm",/images/unifix_prodotti/Solotassello.webp
Fascetta Serratub,Unifix,Fascetta Serratub - in acciaio zincato vite in 8.8 con testa esagonale a taglio cacciavitenastro forato alleggerito,/images/unifix_prodotti/FascettaSerratub.webp
Solo tassello,Unifix,"FX - Tassello universale in nylon - in nylon 6.6 con bordino idoneo per ogni tipo di fissaggio leggero mediante espansione radiale nel pieno e annodamento nel vuoto
 Indicato per cemento, cemento cellulare, pietra, mattoni pieni e forati",/images/unifix_prodotti/Solotassello.webp
in nylon 6.6,Unifix,"IPS - Tassello a vite per pannelli isolanti - in nylon 6.6 di alta qualità indicato per il fissaggio di canaline, profili, illuminazioni esterne a parete, cassette della posta, sistemi d’allarme
 
riduce al minimo il ponte termico
punta con doppio filetto per una ottimale penetrazione nell’intonaco
testa dotata di guarnizione per la chiusura del foro d’infissione
profondità maggiorata sulla testa per consentire l’infissione della vite
idoneo per fissaggio su pannelli isolanti, termoacustici e in fibra di legno
non necessita di preforo",/images/unifix_prodotti/innylon66.webp
Nastro e vite inox - W4,Unifix,"Fascetta stringitubo nastro 9 mm fascettate - DIN 3017 
vite a testa esagonale doppia possibilità di fissaggio
chiusura ottimale grazie al lucchetto molto corto
bordi rialzati evitano tagli nel tubo
nastro continuo pieno
W2 - acciaio inossidabile
W4 - Inox A2 (Aisi 304)",/images/unifix_prodotti/Nastroeviteinox-W4.webp
Bianca,Unifix,"Fascette cablaggio - in nylon 6.6 
conforme alla norma CEI EN 62275
autoestinguente a norma UL 94 classe V2
codino inclinato per facilitare l’inserimento della fascetta nella testina
angoli arrotondati che garantiscono una maggiore sicurezza
scorrimento agevolato dal basso coefficiente di attrito del materiale
le fascette di colore nero sono additivate con un pigmento colorante “carbon black”, per aumentare la resistenza ai raggi ultravioletti, agli agenti atmosferici ed all’invecchiamento",/images/unifix_prodotti/Bianca.webp
Solo tassello,Unifix,"FXU - Tassello universale in nylon - con bordino idoneo per ogni tipo di fissaggio leggero mediante espansione radiale nel pieno e annodamento nel vuoto
 
indicato per cemento, pietra, mattoni pieni e forati, calcestruzzo aerato, pannelli truciolari e cartongesso ad esclusione del Ø10mm e Ø12mm",/images/unifix_prodotti/Solotassello.webp
Fascetta Serratub,Unifix,Fascetta Serratub - in acciaio zincato vite in 8.8 con testa esagonale a taglio cacciavitenastro forato alleggerito,/images/unifix_prodotti/FascettaSerratub.webp
Solo tassello,Unifix,"FX - Tassello universale in nylon - in nylon 6.6 con bordino idoneo per ogni tipo di fissaggio leggero mediante espansione radiale nel pieno e annodamento nel vuoto
 Indicato per cemento, cemento cellulare, pietra, mattoni pieni e forati",/images/unifix_prodotti/Solotassello.webp
in nylon 6.6,Unifix,"IPS - Tassello a vite per pannelli isolanti - in nylon 6.6 di alta qualità indicato per il fissaggio di canaline, profili, illuminazioni esterne a parete, cassette della posta, sistemi d’allarme
 
riduce al minimo il ponte termico
punta con doppio filetto per una ottimale penetrazione nell’intonaco
testa dotata di guarnizione per la chiusura del foro d’infissione
profondità maggiorata sulla testa per consentire l’infissione della vite
idoneo per fissaggio su pannelli isolanti, termoacustici e in fibra di legno
non necessita di preforo",/images/unifix_prodotti/innylon66.webp
Nastro e vite inox - W4,Unifix,"Fascetta stringitubo nastro 9 mm fascettate - DIN 3017 
vite a testa esagonale doppia possibilità di fissaggio
chiusura ottimale grazie al lucchetto molto corto
bordi rialzati evitano tagli nel tubo
nastro continuo pieno
W2 - acciaio inossidabile
W4 - Inox A2 (Aisi 304)",/images/unifix_prodotti/Nastroeviteinox-W4.webp
Bianca,Unifix,"Fascette cablaggio - in nylon 6.6 
conforme alla norma CEI EN 62275
autoestinguente a norma UL 94 classe V2
codino inclinato per facilitare l’inserimento della fascetta nella testina
angoli arrotondati che garantiscono una maggiore sicurezza
scorrimento agevolato dal basso coefficiente di attrito del materiale
le fascette di colore nero sono additivate con un pigmento colorante “carbon black”, per aumentare la resistenza ai raggi ultravioletti, agli agenti atmosferici ed all’invecchiamento",/images/unifix_prodotti/Bianca.webp
Solo tassello,Unifix,"FXU - Tassello universale in nylon - con bordino idoneo per ogni tipo di fissaggio leggero mediante espansione radiale nel pieno e annodamento nel vuoto
 
indicato per cemento, pietra, mattoni pieni e forati, calcestruzzo aerato, pannelli truciolari e cartongesso ad esclusione del Ø10mm e Ø12mm",/images/unifix_prodotti/Solotassello.webp
Fascetta Serratub,Unifix,Fascetta Serratub - in acciaio zincato vite in 8.8 con testa esagonale a taglio cacciavitenastro forato alleggerito,/images/unifix_prodotti/FascettaSerratub.webp
Solo tassello,Unifix,"FX - Tassello universale in nylon - in nylon 6.6 con bordino idoneo per ogni tipo di fissaggio leggero mediante espansione radiale nel pieno e annodamento nel vuoto
 Indicato per cemento, cemento cellulare, pietra, mattoni pieni e forati",/images/unifix_prodotti/Solotassello.webp
Solo tassello,Unifix,"FX - Tassello universale in nylon - in nylon 6.6 con bordino idoneo per ogni tipo di fissaggio leggero mediante espansione radiale nel pieno e annodamento nel vuoto
 Indicato per cemento, cemento cellulare, pietra, mattoni pieni e forati",/images/unifix_prodotti/Solotassello.webp
Con barra filettata,Unifix,"PTA - Tassello in acciaio con pitoneria - in acciaio zinco cromato indicato per calcestruzzo, pietra, mattoni pieni",/images/unifix_prodotti/Conbarrafilettata.webp
in nylon 6.6,Unifix,"IPS - Tassello a vite per pannelli isolanti - in nylon 6.6 di alta qualità indicato per il fissaggio di canaline, profili, illuminazioni esterne a parete, cassette della posta, sistemi d’allarme
 
riduce al minimo il ponte termico
punta con doppio filetto per una ottimale penetrazione nell’intonaco
testa dotata di guarnizione per la chiusura del foro d’infissione
profondità maggiorata sulla testa per consentire l’infissione della vite
idoneo per fissaggio su pannelli isolanti, termoacustici e in fibra di legno
non necessita di preforo",/images/unifix_prodotti/innylon66.webp
Nastro e vite inox - W4,Unifix,"Fascetta stringitubo nastro 9 mm fascettate - DIN 3017 
vite a testa esagonale doppia possibilità di fissaggio
chiusura ottimale grazie al lucchetto molto corto
bordi rialzati evitano tagli nel tubo
nastro continuo pieno
W2 - acciaio inossidabile
W4 - Inox A2 (Aisi 304)",/images/unifix_prodotti/Nastroeviteinox-W4.webp
Solo tassello,Unifix,"FXU - Tassello universale in nylon - con bordino idoneo per ogni tipo di fissaggio leggero mediante espansione radiale nel pieno e annodamento nel vuoto
 
indicato per cemento, pietra, mattoni pieni e forati, calcestruzzo aerato, pannelli truciolari e cartongesso ad esclusione del Ø10mm e Ø12mm",/images/unifix_prodotti/Solotassello.webp
Fascetta Serratub,Unifix,Fascetta Serratub - in acciaio zincato vite in 8.8 con testa esagonale a taglio cacciavitenastro forato alleggerito,/images/unifix_prodotti/FascettaSerratub.webp
Solo tassello,Unifix,"FX - Tassello universale in nylon - in nylon 6.6 con bordino idoneo per ogni tipo di fissaggio leggero mediante espansione radiale nel pieno e annodamento nel vuoto
 Indicato per cemento, cemento cellulare, pietra, mattoni pieni e forati",/images/unifix_prodotti/Solotassello.webp
Con barra filettata,Unifix,"PTA - Tassello in acciaio con pitoneria - in acciaio zinco cromato indicato per calcestruzzo, pietra, mattoni pieni",/images/unifix_prodotti/Conbarrafilettata.webp
in nylon 6.6,Unifix,"IPS - Tassello a vite per pannelli isolanti - in nylon 6.6 di alta qualità indicato per il fissaggio di canaline, profili, illuminazioni esterne a parete, cassette della posta, sistemi d’allarme
 
riduce al minimo il ponte termico
punta con doppio filetto per una ottimale penetrazione nell’intonaco
testa dotata di guarnizione per la chiusura del foro d’infissione
profondità maggiorata sulla testa per consentire l’infissione della vite
idoneo per fissaggio su pannelli isolanti, termoacustici e in fibra di legno
non necessita di preforo",/images/unifix_prodotti/innylon66.webp
Nastro e vite inox - W4,Unifix,"Fascetta stringitubo nastro 9 mm fascettate - DIN 3017 
vite a testa esagonale doppia possibilità di fissaggio
chiusura ottimale grazie al lucchetto molto corto
bordi rialzati evitano tagli nel tubo
nastro continuo pieno
W2 - acciaio inossidabile
W4 - Inox A2 (Aisi 304)",/images/unifix_prodotti/Nastroeviteinox-W4.webp
Solo tassello,Unifix,"FXU - Tassello universale in nylon - con bordino idoneo per ogni tipo di fissaggio leggero mediante espansione radiale nel pieno e annodamento nel vuoto
 
indicato per cemento, pietra, mattoni pieni e forati, calcestruzzo aerato, pannelli truciolari e cartongesso ad esclusione del Ø10mm e Ø12mm",/images/unifix_prodotti/Solotassello.webp
Fascetta Serratub,Unifix,Fascetta Serratub - in acciaio zincato vite in 8.8 con testa esagonale a taglio cacciavitenastro forato alleggerito,/images/unifix_prodotti/FascettaSerratub.webp
Solo tassello,Unifix,"FX - Tassello universale in nylon - in nylon 6.6 con bordino idoneo per ogni tipo di fissaggio leggero mediante espansione radiale nel pieno e annodamento nel vuoto
 Indicato per cemento, cemento cellulare, pietra, mattoni pieni e forati",/images/unifix_prodotti/Solotassello.webp
Con barra filettata,Unifix,"PTA - Tassello in acciaio con pitoneria - in acciaio zinco cromato indicato per calcestruzzo, pietra, mattoni pieni",/images/unifix_prodotti/Conbarrafilettata.webp
in nylon 6.6,Unifix,"IPS - Tassello a vite per pannelli isolanti - in nylon 6.6 di alta qualità indicato per il fissaggio di canaline, profili, illuminazioni esterne a parete, cassette della posta, sistemi d’allarme
 
riduce al minimo il ponte termico
punta con doppio filetto per una ottimale penetrazione nell’intonaco
testa dotata di guarnizione per la chiusura del foro d’infissione
profondità maggiorata sulla testa per consentire l’infissione della vite
idoneo per fissaggio su pannelli isolanti, termoacustici e in fibra di legno
non necessita di preforo",/images/unifix_prodotti/innylon66.webp
Nastro e vite inox - W4,Unifix,"Fascetta stringitubo nastro 9 mm fascettate - DIN 3017 
vite a testa esagonale doppia possibilità di fissaggio
chiusura ottimale grazie al lucchetto molto corto
bordi rialzati evitano tagli nel tubo
nastro continuo pieno
W2 - acciaio inossidabile
W4 - Inox A2 (Aisi 304)",/images/unifix_prodotti/Nastroeviteinox-W4.webp
Solo tassello,Unifix,"FXU - Tassello universale in nylon - con bordino idoneo per ogni tipo di fissaggio leggero mediante espansione radiale nel pieno e annodamento nel vuoto
 
indicato per cemento, pietra, mattoni pieni e forati, calcestruzzo aerato, pannelli truciolari e cartongesso ad esclusione del Ø10mm e Ø12mm",/images/unifix_prodotti/Solotassello.webp
Fascetta Serratub,Unifix,Fascetta Serratub - in acciaio zincato vite in 8.8 con testa esagonale a taglio cacciavitenastro forato alleggerito,/images/unifix_prodotti/FascettaSerratub.webp
Solo tassello,Unifix,"FX - Tassello universale in nylon - in nylon 6.6 con bordino idoneo per ogni tipo di fissaggio leggero mediante espansione radiale nel pieno e annodamento nel vuoto
 Indicato per cemento, cemento cellulare, pietra, mattoni pieni e forati",/images/unifix_prodotti/Solotassello.webp
Con barra filettata,Unifix,"PTA - Tassello in acciaio con pitoneria - in acciaio zinco cromato indicato per calcestruzzo, pietra, mattoni pieni",/images/unifix_prodotti/Conbarrafilettata.webp
in nylon 6.6,Unifix,"IPS - Tassello a vite per pannelli isolanti - in nylon 6.6 di alta qualità indicato per il fissaggio di canaline, profili, illuminazioni esterne a parete, cassette della posta, sistemi d’allarme
 
riduce al minimo il ponte termico
punta con doppio filetto per una ottimale penetrazione nell’intonaco
testa dotata di guarnizione per la chiusura del foro d’infissione
profondità maggiorata sulla testa per consentire l’infissione della vite
idoneo per fissaggio su pannelli isolanti, termoacustici e in fibra di legno
non necessita di preforo",/images/unifix_prodotti/innylon66.webp
Nastro e vite inox - W4,Unifix,"Fascetta stringitubo nastro 9 mm fascettate - DIN 3017 
vite a testa esagonale doppia possibilità di fissaggio
chiusura ottimale grazie al lucchetto molto corto
bordi rialzati evitano tagli nel tubo
nastro continuo pieno
W2 - acciaio inossidabile
W4 - Inox A2 (Aisi 304)",/images/unifix_prodotti/Nastroeviteinox-W4.webp
Solo tassello,Unifix,"FXU - Tassello universale in nylon - con bordino idoneo per ogni tipo di fissaggio leggero mediante espansione radiale nel pieno e annodamento nel vuoto
 
indicato per cemento, pietra, mattoni pieni e forati, calcestruzzo aerato, pannelli truciolari e cartongesso ad esclusione del Ø10mm e Ø12mm",/images/unifix_prodotti/Solotassello.webp
Fascetta Serratub,Unifix,Fascetta Serratub - in acciaio zincato vite in 8.8 con testa esagonale a taglio cacciavitenastro forato alleggerito,/images/unifix_prodotti/FascettaSerratub.webp
Solo tassello,Unifix,"FX - Tassello universale in nylon - in nylon 6.6 con bordino idoneo per ogni tipo di fissaggio leggero mediante espansione radiale nel pieno e annodamento nel vuoto
 Indicato per cemento, cemento cellulare, pietra, mattoni pieni e forati",/images/unifix_prodotti/Solotassello.webp
Con barra filettata,Unifix,"PTA - Tassello in acciaio con pitoneria - in acciaio zinco cromato indicato per calcestruzzo, pietra, mattoni pieni",/images/unifix_prodotti/Conbarrafilettata.webp
Collare bombato esecuzione ve…,Unifix,"TACS - Tassello con vite premontata - in nylon 6.6 per il fissaggio di rivestimenti, listelli in legno, profili di alluminio per cartongesso e canaline
 indicato per calcestruzzo, pietra, mattoni pieni e materiali compatti",/images/unifix_prodotti/Collarebombatoesecuzioneve.webp
